## Physical facts about the Great Lakes,,,,,
## avg_depth: Average depth in miles,,,,,
## max_depth: Maximum depth in miles,,,,,
## volume: Total water volume (cubic miles),,,,,
## area: Total water area (square miles),,,,,
## retention: Water retention time (years),,,,,
##,,,,,
## source: https://www.epa.gov/greatlakes/physical-features-great-lakes,,,,,
##,,,,,
lake,avg_depth,max_depth,volume,area,retention
Superior,483,1332,2900,31700,191
Michigan,279,925,1180,22300,99
Huron,195,750,850,23000,22
Erie,62,210,116,9910,2.6
Ontario,283,802,393,7340,6
